ID;workItem_ID;milestoneName;milestoneDate;milestoneOrder;status;completedDate;autoGenerated;evidence
c1000001-0001-4000-8000-000000000001;a1b2c3d4-e5f6-7890-abcd-100000000001;Kickoff;2026-01-15;1;Complete;2026-01-15;true;Kickoff meeting held
c1000001-0001-4000-8000-000000000002;a1b2c3d4-e5f6-7890-abcd-100000000001;Dev Complete;2026-03-01;2;Pending;;true;
c1000001-0001-4000-8000-000000000003;a1b2c3d4-e5f6-7890-abcd-100000000001;UAT Start;2026-03-10;3;Pending;;true;
c1000001-0001-4000-8000-000000000004;a1b2c3d4-e5f6-7890-abcd-100000000001;UAT Sign-off;2026-03-25;4;Pending;;true;
c1000001-0001-4000-8000-000000000005;a1b2c3d4-e5f6-7890-abcd-100000000001;Go-Live;2026-04-01;5;Pending;;true;
c1000001-0001-4000-8000-000000000006;a1b2c3d4-e5f6-7890-abcd-100000000002;Kickoff;2026-02-01;1;Complete;2026-02-01;true;Kickoff meeting held
c1000001-0001-4000-8000-000000000007;a1b2c3d4-e5f6-7890-abcd-100000000002;Dev Complete;2026-04-15;2;Pending;;true;
c1000001-0001-4000-8000-000000000008;a1b2c3d4-e5f6-7890-abcd-100000000002;Go-Live;2026-05-12;3;Pending;;true;
c1000001-0001-4000-8000-000000000009;a1b2c3d4-e5f6-7890-abcd-100000000005;Kickoff;2025-11-01;1;Complete;2025-11-01;true;Kickoff meeting held
c1000001-0001-4000-8000-000000000010;a1b2c3d4-e5f6-7890-abcd-100000000005;Go-Live;2026-03-28;2;Complete;2026-03-28;true;Deployed to PRD
c1000001-0001-4000-8000-000000000011;a1b2c3d4-e5f6-7890-abcd-100000000005;Hypercare End;2026-04-10;3;Pending;;true;
c1000001-0001-4000-8000-000000000012;a1b2c3d4-e5f6-7890-abcd-100000000006;Kickoff;2026-01-10;1;Complete;2026-01-10;true;Kickoff with PP team
c1000001-0001-4000-8000-000000000013;a1b2c3d4-e5f6-7890-abcd-100000000006;Dev Complete;2026-03-01;2;Complete;2026-03-05;true;Completed 4 days late
c1000001-0001-4000-8000-000000000014;a1b2c3d4-e5f6-7890-abcd-100000000006;UAT Start;2026-03-10;3;Complete;2026-03-12;true;UAT started 2 days late
c1000001-0001-4000-8000-000000000015;a1b2c3d4-e5f6-7890-abcd-100000000006;UAT Sign-off;2026-03-28;4;Pending;;true;
c1000001-0001-4000-8000-000000000016;a1b2c3d4-e5f6-7890-abcd-100000000006;Go-Live;2026-04-05;5;Pending;;true;
c1000001-0001-4000-8000-000000000017;a1b2c3d4-e5f6-7890-abcd-100000000007;Kickoff;2026-02-15;1;Complete;2026-02-15;true;QM team kickoff
c1000001-0001-4000-8000-000000000018;a1b2c3d4-e5f6-7890-abcd-100000000007;Dev Complete;2026-04-01;2;Pending;;true;
c1000001-0001-4000-8000-000000000019;a1b2c3d4-e5f6-7890-abcd-100000000007;Go-Live;2026-04-20;3;Pending;;true;
c1000001-0001-4000-8000-000000000020;a1b2c3d4-e5f6-7890-abcd-100000000008;Go-Live;2026-03-15;1;Complete;2026-03-15;true;Security notes deployed to PRD
c1000001-0001-4000-8000-000000000021;a1b2c3d4-e5f6-7890-abcd-100000000009;Kickoff;2026-03-01;1;Complete;2026-03-01;true;WM enhancement kickoff
c1000001-0001-4000-8000-000000000022;a1b2c3d4-e5f6-7890-abcd-100000000009;Dev Complete;2026-04-15;2;Pending;;true;
c1000001-0001-4000-8000-000000000023;a1b2c3d4-e5f6-7890-abcd-100000000009;Go-Live;2026-05-01;3;Pending;;true;
c1000001-0001-4000-8000-000000000024;a1b2c3d4-e5f6-7890-abcd-100000000010;Kickoff;2026-03-25;1;Complete;2026-03-25;true;Intercompany project kickoff
c1000001-0001-4000-8000-000000000025;a1b2c3d4-e5f6-7890-abcd-100000000010;Dev Complete;2026-06-01;2;Pending;;true;
c1000001-0001-4000-8000-000000000026;a1b2c3d4-e5f6-7890-abcd-100000000010;UAT Start;2026-06-15;3;Pending;;true;
c1000001-0001-4000-8000-000000000027;a1b2c3d4-e5f6-7890-abcd-100000000010;Go-Live;2026-07-01;4;Pending;;true;
c1000001-0001-4000-8000-000000000028;a1b2c3d4-e5f6-7890-abcd-100000000003;Testing Complete;2026-03-28;1;Pending;;true;
c1000001-0001-4000-8000-000000000029;a1b2c3d4-e5f6-7890-abcd-100000000004;Dev Complete;2026-04-15;1;Pending;;true;
c1000001-0001-4000-8000-000000000030;a1b2c3d4-e5f6-7890-abcd-100000000004;Go-Live;2026-04-30;2;Pending;;true;
c2000001-0001-4000-8000-000000000001;a1b2c3d4-e5f6-7890-abcd-200000000001;Design Complete;2026-03-15;1;Complete;2026-03-15;true;Design workshops completed
c2000001-0001-4000-8000-000000000002;a1b2c3d4-e5f6-7890-abcd-200000000001;Configuration Complete;2026-04-30;2;Pending;;true;
c2000001-0001-4000-8000-000000000003;a1b2c3d4-e5f6-7890-abcd-200000000001;UAT Start;2026-05-15;3;Pending;;true;
c2000001-0001-4000-8000-000000000004;a1b2c3d4-e5f6-7890-abcd-200000000001;Go-Live;2026-06-30;4;Pending;;true;
c2000001-0001-4000-8000-000000000005;a1b2c3d4-e5f6-7890-abcd-200000000002;Integration Design;2026-02-28;1;Complete;2026-02-28;true;API spec finalized
c2000001-0001-4000-8000-000000000006;a1b2c3d4-e5f6-7890-abcd-200000000002;Build Complete;2026-04-15;2;Pending;;true;
c2000001-0001-4000-8000-000000000007;a1b2c3d4-e5f6-7890-abcd-200000000002;Go-Live;2026-05-15;3;Pending;;true;
c2000001-0001-4000-8000-000000000008;a1b2c3d4-e5f6-7890-abcd-200000000004;Data Mapping Complete;2026-03-01;1;Complete;2026-03-05;true;Field mapping for 30K vendors
c2000001-0001-4000-8000-000000000009;a1b2c3d4-e5f6-7890-abcd-200000000004;Test Load;2026-03-20;2;Complete;2026-03-22;true;Sandbox load verified
c2000001-0001-4000-8000-000000000010;a1b2c3d4-e5f6-7890-abcd-200000000004;Production Load;2026-04-20;3;Pending;;true;
